Date,USDINR
11/21/2025,89.4088
11/20/2025,88.7075
11/19/2025,88.5875
11/18/2025,88.6113
11/17/2025,88.6387
11/14/2025,88.7425
11/13/2025,88.6662
11/12/2025,88.6413
11/11/2025,88.5675
11/10/2025,88.6987
11/7/2025,88.665
11/6/2025,88.625
11/4/2025,88.6588
11/3/2025,88.7813
10/31/2025,88.7725
10/30/2025,88.7038
10/29/2025,88.1975
10/28/2025,88.2663
10/27/2025,88.2437
10/24/2025,87.8513
10/23/2025,87.8525
10/20/2025,87.93
10/17/2025,87.9725
10/16/2025,87.8288
10/15/2025,88.07
10/14/2025,88.7988
10/13/2025,88.6763
10/10/2025,88.6975
10/9/2025,88.7912
10/8/2025,88.7975
10/7/2025,88.7825
10/6/2025,88.7912
10/3/2025,88.7825
10/1/2025,88.6938
9/30/2025,88.7888
9/29/2025,88.7612
9/26/2025,88.7162
9/25/2025,88.6725
9/24/2025,88.6987
9/23/2025,88.7562
9/22/2025,88.3163
9/19/2025,88.1025
9/18/2025,88.1337
9/17/2025,87.8087
9/16/2025,88.0587
9/15/2025,88.2188
9/12/2025,88.2787
9/11/2025,88.44
9/10/2025,88.1013
9/9/2025,88.1138
9/5/2025,88.2663
9/4/2025,88.1525
9/3/2025,88.07
9/2/2025,88.16
9/1/2025,88.2012
8/29/2025,88.2063
8/28/2025,87.6338
8/26/2025,87.68
8/25/2025,87.58
8/22/2025,87.5275
8/21/2025,87.2612
8/20/2025,87.0775
8/19/2025,86.9625
8/18/2025,87.3525
8/14/2025,87.565
8/13/2025,87.4937
8/12/2025,87.7063
8/11/2025,87.6563
8/8/2025,87.6613
8/7/2025,87.7088
8/6/2025,87.735
8/5/2025,87.805
8/4/2025,87.6525
8/1/2025,87.5275
7/31/2025,87.6
7/30/2025,87.425
7/29/2025,86.82
7/28/2025,86.6575
7/25/2025,86.52
7/24/2025,86.4088
7/23/2025,86.4187
7/22/2025,86.3687
7/21/2025,86.2988
7/18/2025,86.1588
7/17/2025,86.0775
7/16/2025,85.9413
7/15/2025,85.815
7/14/2025,85.9925
7/11/2025,85.8025
7/10/2025,85.645
7/9/2025,85.6825
7/8/2025,85.7
7/7/2025,85.8638
7/4/2025,85.395
7/3/2025,85.3225
7/2/2025,85.7113
7/1/2025,85.5375
6/30/2025,85.7525
6/27/2025,85.49
6/26/2025,85.7088
6/25/2025,86.09
6/24/2025,85.98
6/23/2025,86.7525
6/20/2025,86.59
6/19/2025,86.7337
6/18/2025,86.4725
6/17/2025,86.2438
6/16/2025,86.06
6/13/2025,86.0912
6/12/2025,85.6038
6/11/2025,85.515
6/10/2025,85.6225
6/9/2025,85.63
6/6/2025,85.635
6/5/2025,85.7962
6/4/2025,85.9063
6/3/2025,85.5925
6/2/2025,85.3862
5/30/2025,85.5813
5/29/2025,85.5313
5/28/2025,85.365
5/27/2025,85.3425
5/26/2025,85.0912
5/23/2025,85.2188
5/22/2025,86.005
5/21/2025,85.6425
5/20/2025,85.6362
5/19/2025,85.4025
5/16/2025,85.5188
5/15/2025,85.5462
5/14/2025,85.2787
5/13/2025,85.3463
5/9/2025,85.375
5/8/2025,85.7175
5/7/2025,84.8325
5/6/2025,84.4375
5/5/2025,84.2475
5/2/2025,84.5612
4/30/2025,84.495
4/29/2025,85.255
4/28/2025,85.0338
4/25/2025,85.4487
4/24/2025,85.27
4/23/2025,85.4238
4/22/2025,85.195
4/21/2025,85.135
4/17/2025,85.375
4/16/2025,85.685
4/15/2025,85.7725
4/11/2025,86.0537
4/9/2025,86.6975
4/8/2025,86.2462
4/7/2025,85.8425
4/4/2025,85.235
4/3/2025,85.4413
4/2/2025,85.5137
3/28/2025,85.4625
3/27/2025,85.7875
3/26/2025,85.7162
3/25/2025,85.7637
3/24/2025,85.6375
3/21/2025,85.9725
3/20/2025,86.3675
3/19/2025,86.4413
3/18/2025,86.5663
3/17/2025,86.7988
3/13/2025,87.0075
3/12/2025,87.2125
3/11/2025,87.2125
3/10/2025,87.3325
3/7/2025,86.8812
3/6/2025,87.1175
3/5/2025,86.9675
3/4/2025,87.27
3/3/2025,87.36
2/28/2025,87.5125
2/27/2025,87.1975
2/25/2025,87.2025
2/24/2025,86.7063
2/21/2025,86.7125
2/20/2025,86.6663
2/18/2025,86.9487
2/17/2025,86.8788
2/14/2025,86.8325
2/13/2025,86.8963
2/12/2025,86.8887
2/11/2025,86.83
2/10/2025,87.48
2/7/2025,87.4275
2/6/2025,87.5788
2/5/2025,87.46
2/4/2025,87.0762
2/3/2025,87.195
1/31/2025,86.6162
1/30/2025,86.625
1/29/2025,86.555
1/28/2025,86.5313
1/27/2025,86.3387
1/24/2025,86.205
1/23/2025,86.4662
1/22/2025,86.3337
1/21/2025,86.5863
1/20/2025,86.5687
1/17/2025,86.6125
1/16/2025,86.55
1/15/2025,86.3625
1/14/2025,86.6463
1/13/2025,86.5813
1/10/2025,85.9738
1/9/2025,85.8638
1/8/2025,85.855
1/7/2025,85.7225
1/6/2025,85.825
1/3/2025,85.7813
1/2/2025,85.755
1/1/2025,85.6488
12/31/2024,85.6087
12/30/2024,85.5387
12/27/2024,85.54
12/26/2024,85.265
