Date,india_ir
11/24/2025,5.59
11/21/2025,5.59
11/20/2025,5.48
11/19/2025,5.44
11/18/2025,5.44
11/17/2025,5.43
11/14/2025,5.58
11/13/2025,5.39
11/12/2025,5.39
11/11/2025,5.39
11/10/2025,5.39
11/7/2025,5.44
11/6/2025,5.46
11/4/2025,5.49
11/3/2025,5.49
10/31/2025,5.69
10/30/2025,5.64
10/29/2025,5.64
10/28/2025,5.64
10/27/2025,5.65
10/24/2025,5.52
10/23/2025,5.49
10/20/2025,5.64
10/17/2025,5.55
10/16/2025,5.45
10/15/2025,5.41
10/14/2025,5.48
10/13/2025,5.54
10/10/2025,5.66
10/9/2025,5.5
10/8/2025,5.39
10/7/2025,5.39
10/6/2025,5.39
10/3/2025,5.4
10/1/2025,5.4
9/30/2025,5.74
9/29/2025,5.59
9/26/2025,5.64
9/25/2025,5.63
9/24/2025,5.58
9/23/2025,5.68
9/22/2025,5.58
9/19/2025,5.58
9/18/2025,5.6
9/17/2025,5.49
9/16/2025,5.48
9/15/2025,5.48
9/12/2025,5.47
9/11/2025,5.39
9/10/2025,5.39
9/9/2025,5.39
9/5/2025,5.4
9/4/2025,5.4
9/3/2025,5.39
9/2/2025,5.44
